event_month,event_name,severity,z_value,beta_price,delta_price
2022-03,East coast floods (cont.),minor,0.5,0.014004948668754453,-0.04998583720585447
2024-06,Grosvenor mine fire,minor,0.5,0.08426227518957922,0.020271489314970303
2024-01,Cyclone Kirrily,minor,0.5,0.08050520426403851,0.01651441838942959
2022-02,East coast floods,minor,0.5,0.04888670302275149,-0.01510408285185743
2017-03,Cyclone Debbie,major,1.0,0.07908147321378632,0.0150906873391774
2020-05,Grosvenor mine incident,minor,0.5,0.07875811932981065,0.014767333455201731
2021-01,Cyclone Kimi,minor,0.5,0.07840339939791913,0.014412613523310205
2013-01,Cyclone Oswald,minor,0.5,0.05398030350901124,-0.010010482365597678
2019-02,North Queensland floods,minor,0.5,0.05747137708685427,-0.0065194087877546505
2017-04,Cyclone Debbie (cont.),major,1.0,0.06653029109668963,0.0025395052220807124
2008-01,Queensland floods,major,0.0,0.06399078587460892,0.0
2008-02,Queensland floods (cont.),major,0.0,0.06399078587460892,0.0
2010-12,Queensland floods,major,0.0,0.06399078587460892,0.0
2011-01,Queensland floods,major,0.0,0.06399078587460892,0.0
2011-02,Cyclone Yasi,major,0.0,0.06399078587460892,0.0
